#separator:tab
#html:false
#notetype:Basic
#deck:Mandarin Taiwan
#columns:Hanzi	Pinyin	Indonesian	English	Taiwan Note	Tags
50嵐	Wǔshí Lán	50 Lan (bubble tea)	50 Lan		scenario::Tempat_&_Merek register::casual tag::Places
康是美	Kāngshìměi	Cosmed	Cosmed	Pharmacy + beauty store chain	scenario::Tempat_&_Merek register::casual tag::Places taiwan
屈臣氏	Qūchénshì	Watson\	Watson\		scenario::Tempat_&_Merek register::casual tag::Places
寶雅	Bǎoyǎ	POYA	POYA beauty store		scenario::Tempat_&_Merek register::casual tag::Places
台灣銀行	Táiwān Yínháng	Bank of Taiwan	Bank of Taiwan		scenario::Tempat_&_Merek register::formal tag::Places
中國信託	Zhōngguó Xìntuō	CTBC Bank	CTBC Bank		scenario::Tempat_&_Merek register::formal tag::Places
玉山銀行	Yùshān Yínháng	E.Sun Bank	E.Sun Bank		scenario::Tempat_&_Merek register::formal tag::Places
郵局	yóujú	kantor pos (juga ada layanan bank)	post office (with banking)	Chunghwa Post also offers savings accounts	scenario::Tempat_&_Merek register::casual tag::Places taiwan
台北	Táiběi	Taipei	Taipei		scenario::Tempat_&_Merek register::casual tag::Places
新北	Xīnběi	New Taipei	New Taipei City		scenario::Tempat_&_Merek register::casual tag::Places
桃園	Táoyuán	Taoyuan	Taoyuan		scenario::Tempat_&_Merek register::casual tag::Places
台中	Táizhōng	Taichung	Taichung		scenario::Tempat_&_Merek register::casual tag::Places
台南	Táinán	Tainan	Tainan		scenario::Tempat_&_Merek register::casual tag::Places
高雄	Gāoxióng	Kaohsiung	Kaohsiung		scenario::Tempat_&_Merek register::casual tag::Places
花蓮	Huālián	Hualien	Hualien		scenario::Tempat_&_Merek register::casual tag::Places
台東	Táidōng	Taitung	Taitung		scenario::Tempat_&_Merek register::casual tag::Places
宜蘭	Yílán	Yilan	Yilan		scenario::Tempat_&_Merek register::casual tag::Places
基隆	Jīlóng	Keelung	Keelung		scenario::Tempat_&_Merek register::casual tag::Places
新竹	Xīnzhú	Hsinchu	Hsinchu		scenario::Tempat_&_Merek register::casual tag::Places
澎湖	Pénghú	Penghu (Pescadores)	Penghu		scenario::Tempat_&_Merek register::casual tag::Places
台北101	Táiběi Yī-líng-yī	Taipei 101	Taipei 101		scenario::Tempat_&_Merek register::casual tag::Places
故宮博物院	Gùgōng Bówùyuàn	Museum Istana Nasional	National Palace Museum		scenario::Tempat_&_Merek register::casual tag::Places
龍山寺	Lóngshān Sì	Kuil Longshan	Longshan Temple		scenario::Tempat_&_Merek register::casual tag::Places
九份	Jiǔfèn	Jiufen	Jiufen		scenario::Tempat_&_Merek register::casual tag::Places
日月潭	Rìyuè Tán	Danau Sun Moon	Sun Moon Lake		scenario::Tempat_&_Merek register::casual tag::Places
太魯閣	Tàilǔgé	Taroko Gorge	Taroko Gorge		scenario::Tempat_&_Merek register::casual tag::Places
阿里山	Ālǐshān	Alishan	Alishan		scenario::Tempat_&_Merek register::casual tag::Places
墾丁	Kěndīng	Kenting	Kenting		scenario::Tempat_&_Merek register::casual tag::Places
士林夜市	Shìlín Yèshì	Pasar Malam Shilin	Shilin Night Market		scenario::Tempat_&_Merek register::casual tag::Places
饒河夜市	Ráohé Yèshì	Pasar Malam Raohe	Raohe Night Market		scenario::Tempat_&_Merek register::casual tag::Places
逢甲夜市	Féngjiǎ Yèshì	Pasar Malam Fengjia (Taichung)	Fengjia Night Market		scenario::Tempat_&_Merek register::casual tag::Places
六合夜市	Liùhé Yèshì	Pasar Malam Liuhe (Kaohsiung)	Liuhe Night Market		scenario::Tempat_&_Merek register::casual tag::Places
台北車站	Táiběi Chēzhàn	Stasiun Taipei	Taipei Main Station		scenario::Tempat_&_Merek register::casual tag::Places
桃園機場	Táoyuán Jīchǎng	Bandara Taoyuan	Taoyuan Airport		scenario::Tempat_&_Merek register::casual tag::Places
吃飯	chī fàn	makan	to eat (a meal)		scenario::Makanan_&_Minuman register::casual
喝	hē	minum	to drink		scenario::Makanan_&_Minuman register::casual
好吃	hǎo chī	enak / lezat	delicious		scenario::Makanan_&_Minuman register::casual
好喝	hǎo hē	enak (minuman)	tasty (drinks)		scenario::Makanan_&_Minuman register::casual
餓	è	lapar	hungry		scenario::Makanan_&_Minuman register::casual
渴	kě	haus	thirsty		scenario::Makanan_&_Minuman register::casual
飽	bǎo	kenyang	full (after eating)		scenario::Makanan_&_Minuman register::casual
點餐	diǎn cān	pesan makanan	to order food		scenario::Makanan_&_Minuman register::casual
我要	wǒ yào	saya mau	I want / I\		scenario::Makanan_&_Minuman register::casual
外帶	wài dài	bungkus / dibawa pulang	takeaway	Standard Taiwan term for takeout	scenario::Makanan_&_Minuman register::casual taiwan
內用	nèi yòng	makan di tempat	dine in		scenario::Makanan_&_Minuman register::casual
幾位？	jǐ wèi？	berapa orang?	how many people?		scenario::Makanan_&_Minuman register::casual
一個人	yí gè rén	sendiri / satu orang	just one person		scenario::Makanan_&_Minuman register::casual
兩個人	liǎng gè rén	dua orang	two people		scenario::Makanan_&_Minuman register::casual
菜單	cài dān	menu	menu		scenario::Makanan_&_Minuman register::casual
這個	zhè gè	yang ini	this one		scenario::Makanan_&_Minuman register::casual
那個	nà gè	yang itu	that one		scenario::Makanan_&_Minuman register::casual
一樣的	yí yàng de	yang sama	the same thing		scenario::Makanan_&_Minuman register::casual
結帳	jié zhàng	bayar / minta nota	to pay / check please		scenario::Makanan_&_Minuman register::casual
多少錢？	duō shǎo qián？	berapa harganya?	how much?		scenario::Makanan_&_Minuman register::casual
刷卡	shuā kǎ	bayar pakai kartu	pay by card		scenario::Makanan_&_Minuman register::casual
付現	fù xiàn	bayar tunai	pay cash		scenario::Makanan_&_Minuman register::casual
找錢	zhǎo qián	kembalian	change (money back)		scenario::Makanan_&_Minuman register::casual
發票	fā piào	struk / faktur	receipt / invoice	Taiwan uniform invoice — also a lottery ticket!	scenario::Makanan_&_Minuman register::casual taiwan
便當	biàn dāng	kotak makan / bento	bento box lunch	Ubiquitous in Taiwan; from Japanese 弁当	scenario::Makanan_&_Minuman register::casual taiwan
滷肉飯	lǔ ròu fàn	nasi babi semur Taiwan	braised pork rice	Iconic Taiwanese comfort food	scenario::Makanan_&_Minuman register::casual taiwan
牛肉麵	niú ròu miàn	mie sapi	beef noodle soup		scenario::Makanan_&_Minuman register::casual
小籠包	xiǎo lóng bāo	bakpao kuah kecil	soup dumplings		scenario::Makanan_&_Minuman register::casual
臭豆腐	chòu dòu fu	tahu fermentasi berbau	stinky tofu		scenario::Makanan_&_Minuman register::casual
蚵仔煎	é zǐ jiān	martabak tiram Taiwan	oyster omelette		scenario::Makanan_&_Minuman register::casual
珍珠奶茶	zhēn zhū nǎi chá	bubble tea / boba	bubble milk tea	Invented in Taiwan	scenario::Makanan_&_Minuman register::casual taiwan
豆漿	dòu jiāng	susu kedelai	soy milk		scenario::Makanan_&_Minuman register::casual
燒餅油條	shāo bǐng yóu tiáo	roti sesame + cakwe	sesame flatbread + fried dough	Classic Taiwanese breakfast combo	scenario::Makanan_&_Minuman register::casual taiwan
幾分糖？	jǐ fēn táng？	berapa kadar gula?	how sweet? (sugar level)		scenario::Makanan_&_Minuman register::casual
全糖	quán táng	gula penuh (100%)	full sugar		scenario::Makanan_&_Minuman register::casual
半糖	bàn táng	setengah gula (50%)	half sugar		scenario::Makanan_&_Minuman register::casual
少糖	shǎo táng	sedikit gula (30%)	less sugar		scenario::Makanan_&_Minuman register::casual
無糖	wú táng	tanpa gula	no sugar		scenario::Makanan_&_Minuman register::casual
去冰	qù bīng	tanpa es	no ice		scenario::Makanan_&_Minuman register::casual
少冰	shǎo bīng	sedikit es	less ice		scenario::Makanan_&_Minuman register::casual
正常冰	zhèng cháng bīng	es normal	normal ice		scenario::Makanan_&_Minuman register::casual
熱的	rè de	yang panas	hot		scenario::Makanan_&_Minuman register::casual
冷的	lěng de	yang dingin	cold		scenario::Makanan_&_Minuman register::casual
夜市	yè shì	pasar malam	night market	Central to Taiwanese social life	scenario::Makanan_&_Minuman register::casual taiwan
攤位	tān wèi	stan / lapak	stall / booth		scenario::Makanan_&_Minuman register::casual
排隊	pái duì	antri	to queue		scenario::Makanan_&_Minuman register::casual
等一下	děng yī xià	tunggu sebentar	wait a moment		scenario::Makanan_&_Minuman register::casual
素食	sù shí	vegetarian	vegetarian food	Taiwan has abundant vegetarian options	scenario::Makanan_&_Minuman register::casual taiwan
不吃肉	bù chī ròu	tidak makan daging	don\		scenario::Makanan_&_Minuman register::casual
辣	là	pedas	spicy		scenario::Makanan_&_Minuman register::casual
不要辣	bù yào là	jangan pedas	no spice please		scenario::Makanan_&_Minuman register::casual
過敏	guò mǐn	alergi	allergy		scenario::Makanan_&_Minuman register::casual
蛋餅	dàn bǐng	crepe telur	egg crepe	Most popular Taiwanese breakfast item — soft rolled crepe with egg	scenario::Makanan_&_Minuman register::casual taiwan
三明治	sānmíngzhì	sandwich	sandwich		scenario::Makanan_&_Minuman register::casual
吐司	tǔsī	roti tawar	toast / bread		scenario::Makanan_&_Minuman register::casual
饅頭	mántou	roti kukus polos	steamed bun (plain)		scenario::Makanan_&_Minuman register::casual
包子	bāozi	bakpao isi	filled steamed bun		scenario::Makanan_&_Minuman register::casual
蘿蔔糕	luóbo gāo	kue lobak goreng	radish cake (pan-fried)	Pan-fried turnip cake, common at breakfast shops	scenario::Makanan_&_Minuman register::casual taiwan
飯糰	fàntuán	onigiri / nasi gulung Taiwan	rice roll	Taiwan rice roll is bigger than Japanese onigiri, with fillings inside	scenario::Makanan_&_Minuman register::casual taiwan
鐵板麵	tiěbǎn miàn	mie hot plate	hot plate noodles		scenario::Makanan_&_Minuman register::casual
魯蛋	lǔ dàn	telur semur	braised egg		scenario::Makanan_&_Minuman register::casual
荷包蛋	hébāo dàn	telur mata sapi	fried egg (sunny side up)		scenario::Makanan_&_Minuman register::casual
炒蛋	chǎo dàn	telur orak-arik	scrambled egg		scenario::Makanan_&_Minuman register::casual
鹹豆漿	xián dòujiāng	susu kedelai asin (panas)	savory soy milk	Hot soy milk with vinegar, dried shrimp, and you-tiao — traditional Taiwanese breakfast	scenario::Makanan_&_Minuman register::casual taiwan
米漿	mǐ jiāng	susu beras	rice milk		scenario::Makanan_&_Minuman register::casual
奶茶	nǎi chá	teh susu / milk tea	milk tea		scenario::Makanan_&_Minuman register::casual
紅茶	hóng chá	teh hitam	black tea		scenario::Makanan_&_Minuman register::casual
綠茶	lǜ chá	teh hijau	green tea		scenario::Makanan_&_Minuman register::casual
鮮奶茶	xiān nǎi chá	teh susu segar	fresh milk tea		scenario::Makanan_&_Minuman register::casual
咖啡	kāfēi	kopi	coffee		scenario::Makanan_&_Minuman register::casual
微糖	wēi táng	sedikit sekali gula (20%)	little sugar (20%)	微糖 is even less sweet than 少糖	scenario::Makanan_&_Minuman register::casual taiwan
七分糖	qī fēn táng	gula 70%	70% sugar		scenario::Makanan_&_Minuman register::casual
三分糖	sān fēn táng	gula 30%	30% sugar		scenario::Makanan_&_Minuman register::casual
溫的	wēn de	yang hangat	warm		scenario::Makanan_&_Minuman register::casual
常溫	cháng wēn	suhu ruangan (tanpa es)	room temperature		scenario::Makanan_&_Minuman register::casual
微冰	wēi bīng	sedikit sekali es	barely any ice		scenario::Makanan_&_Minuman register::casual
加料	jiā liào	tambah topping	add toppings		scenario::Makanan_&_Minuman register::casual
珍珠	zhēnzhū	boba / tapioka	tapioca pearls (boba)	Also called 粉圓 (fěnyuán) in some shops	scenario::Makanan_&_Minuman register::casual taiwan
波霸	bōbà	boba besar	large tapioca pearls	波霸 are bigger and chewier than regular 珍珠	scenario::Makanan_&_Minuman register::casual taiwan
布丁	bùdīng	puding	pudding (topping)		scenario::Makanan_&_Minuman register::casual
椰果	yēguǒ	nata de coco	coconut jelly		scenario::Makanan_&_Minuman register::casual
仙草	xiāncǎo	cincau hitam	grass jelly		scenario::Makanan_&_Minuman register::casual
芋圓	yùyuán	bola talas / taro ball	taro ball	Specialty from Jiufen — chewy taro and sweet potato balls	scenario::Makanan_&_Minuman register::casual taiwan
紅豆	hóngdòu	kacang merah	red bean		scenario::Makanan_&_Minuman register::casual
燕麥	yànmài	oat	oats		scenario::Makanan_&_Minuman register::casual
不要加料	bú yào jiā liào	tidak usah tambah topping	no toppings		scenario::Makanan_&_Minuman register::casual
有優惠嗎？	yǒu yōuhuì ma?	ada promo / diskon?	any discounts / deals?	Very common question — shops often have 買一送一 or app discounts	scenario::Makanan_&_Minuman register::casual taiwan
優惠	yōuhuì	promo / diskon / keuntungan	discount / special offer		scenario::Makanan_&_Minuman register::casual
買一送一	mǎi yī sòng yī	beli satu gratis satu	buy one get one free	Extremely common in Taiwan, especially at drink shops on certain days	scenario::Makanan_&_Minuman register::casual taiwan
集點	jí diǎn	kumpulkan poin / stamp	collect loyalty points	集點 cards at 7-11 and FamilyMart are a big deal in Taiwan culture	scenario::Makanan_&_Minuman register::casual taiwan
點數	diǎnshù	poin	points (loyalty)		scenario::Makanan_&_Minuman register::casual
會員優惠	huìyuán yōuhuì	diskon member	member discount		scenario::Makanan_&_Minuman register::casual
折扣	zhékòu	diskon	discount		scenario::Makanan_&_Minuman register::casual
打八折	dǎ bā zhé	diskon 20% (bayar 80%)	20% off (pay 80%)	Taiwan discounts work backwards — 八折 means pay 80%, not get 80% off	scenario::Makanan_&_Minuman register::casual taiwan
需要發票嗎？	xūyào fāpiào ma?	perlu faktur / struk pajak?	do you need an invoice?	Asked at every register — Taiwan uniform invoices double as lottery tickets	scenario::Makanan_&_Minuman register::casual taiwan
統一發票	tǒngyī fāpiào	struk pajak seragam Taiwan	Taiwan uniform invoice	Government-mandated receipt — has a lottery number printed on it, drawn every 2 months	scenario::Makanan_&_Minuman register::casual taiwan
電子發票	diànzǐ fāpiào	struk elektronik (e-invoice)	electronic invoice	Can be stored on EasyCard or phone instead of paper	scenario::Makanan_&_Minuman register::casual taiwan
載具	zàijù	dompet e-invoice (carrier)	invoice carrier (digital wallet)	載具 stores your e-invoices digitally — link with EasyCard or phone number	scenario::Makanan_&_Minuman register::casual taiwan
不用發票	bú yòng fāpiào	tidak perlu struk	no receipt needed		scenario::Makanan_&_Minuman register::casual
啦	la	(partikel penegas/santai)	(softening / friendly particle)	好吃啦 = so good! Very common in casual speech	scenario::Makanan_&_Minuman register::casual tag::Taiwan taiwan
喔	o	(partikel informasi baru)	(new info / mild surprise particle)		scenario::Makanan_&_Minuman register::casual tag::Taiwan
捷運	jié yùn	MRT / metro	MRT (Taipei Metro)	Used in Taiwan; mainland says 地鐵	scenario::Transportasi register::casual taiwan
公車	gōng chē	bus kota	city bus		scenario::Transportasi register::casual
計程車	jì chéng chē	taksi	taxi		scenario::Transportasi register::casual
機車	jī chē	motor / skuter	scooter / motorbike	In Taiwan 機車 means scooter, not a bad word like in slang	scenario::Transportasi register::casual taiwan
腳踏車	jiǎo tà chē	sepeda	bicycle		scenario::Transportasi register::casual
高鐵	gāo tiě	kereta cepat (HSR)	High Speed Rail		scenario::Transportasi register::casual
台鐵	Tái Tiě	kereta Taiwan (TRA)	Taiwan Railways		scenario::Transportasi register::casual
車站	chē zhàn	stasiun	station		scenario::Transportasi register::casual
月台	yuè tái	peron	platform		scenario::Transportasi register::casual
請問，⋯⋯怎麼走？	qǐng wèn, ...zěn me zǒu?	Permisi, bagaimana cara ke ...?	Excuse me, how do I get to ...?		scenario::Transportasi register::casual
直走	zhí zǒu	jalan lurus	go straight		scenario::Transportasi register::casual
左轉	zuǒ zhuǎn	belok kiri	turn left		scenario::Transportasi register::casual
右轉	yòu zhuǎn	belok kanan	turn right		scenario::Transportasi register::casual
紅綠燈	hóng lǜ dēng	lampu merah	traffic light		scenario::Transportasi register::casual
斑馬線	bān mǎ xiàn	zebra cross	crosswalk		scenario::Transportasi register::casual
附近	fù jìn	di dekat sini / sekitar sini	nearby		scenario::Transportasi register::casual
遠	yuǎn	jauh	far		scenario::Transportasi register::casual
近	jìn	dekat	near		scenario::Transportasi register::casual
走路幾分鐘？	zǒu lù jǐ fēn zhōng?	jalan kaki berapa menit?	how many minutes walking?		scenario::Transportasi register::casual
悠遊卡	Yōuyóu Kǎ	kartu EasyCard	EasyCard (transit card)	Tap-and-go card used on MRT, buses, convenience stores	scenario::Transportasi register::casual taiwan
儲值	chǔ zhí	isi ulang (kartu)	top up (card)		scenario::Transportasi register::casual
出口	chū kǒu	pintu keluar	exit		scenario::Transportasi register::casual
入口	rù kǒu	pintu masuk	entrance		scenario::Transportasi register::casual
換乘	huàn chéng	ganti jalur / transit	transfer (transit)		scenario::Transportasi register::casual
幾號出口？	jǐ hào chū kǒu?	pintu keluar nomor berapa?	which exit number?		scenario::Transportasi register::casual
到⋯⋯多少錢？	dào ... duō shǎo qián?	ke ... berapa?	how much to ...?		scenario::Transportasi register::casual
到這個地址	dào zhè gè dì zhǐ	ke alamat ini	to this address		scenario::Transportasi register::casual
在這裡停	zài zhè lǐ tíng	berhenti di sini	stop here		scenario::Transportasi register::casual
開收據	kāi shōu jù	minta kwitansi	give me a receipt		scenario::Transportasi register::casual
超商	chāo shāng	minimarket / convenience store	convenience store	7-11 and FamilyMart dominate Taiwan	scenario::Belanja register::casual taiwan
收銀台	shōu yín tái	kasir	cashier counter		scenario::Belanja register::casual
袋子	dài zi	kantong / tas plastik	bag		scenario::Belanja register::casual
需要袋子嗎？	xū yào dài zi ma?	perlu kantong?	do you need a bag?	Plastic bags cost extra in Taiwan	scenario::Belanja register::casual taiwan
不用了	bù yòng le	tidak perlu / tidak usah	no need		scenario::Belanja register::casual
買	mǎi	beli	to buy		scenario::Belanja register::casual
賣	mài	jual	to sell		scenario::Belanja register::casual
多少錢？	duō shǎo qián?	berapa harganya?	how much?		scenario::Belanja register::casual
太貴了	tài guì le	terlalu mahal	too expensive		scenario::Belanja register::casual
便宜一點	pián yí yī diǎn	kurangi harganya sedikit	a bit cheaper		scenario::Belanja register::casual
打折	dǎ zhé	diskon	discount		scenario::Belanja register::casual
特價	tè jià	harga spesial / promo	special price / on sale		scenario::Belanja register::casual
有沒有⋯⋯？	yǒu méi yǒu ...?	ada ... tidak?	do you have ...?		scenario::Belanja register::casual
試穿	shì chuān	coba pakai (baju)	try on (clothes)		scenario::Belanja register::casual
試用	shì yòng	coba pakai (produk)	try (a product)		scenario::Belanja register::casual
尺寸	chǐ cùn	ukuran	size		scenario::Belanja register::casual
顏色	yán sè	warna	color		scenario::Belanja register::casual
有沒有別的顏色？	yǒu méi yǒu bié de yán sè?	ada warna lain?	any other colors?		scenario::Belanja register::casual
全聯	Quánlián	PX Mart	PX Mart (supermarket)	Most popular supermarket chain in Taiwan	scenario::Belanja register::casual taiwan
大潤發	Dàrùnfā	RT Mart	RT Mart (hypermarket)		scenario::Belanja register::casual
購物車	gòu wù chē	troli belanja	shopping cart		scenario::Belanja register::casual
結帳	jié zhàng	bayar / checkout	checkout / pay		scenario::Belanja register::casual
會員卡	huì yuán kǎ	kartu member	membership card		scenario::Belanja register::casual
有沒有會員卡？	yǒu méi yǒu huì yuán kǎ?	punya kartu member?	do you have a membership card?		scenario::Belanja register::casual
刷卡	shuā kǎ	bayar kartu	pay by card		scenario::Belanja register::casual
現金	xiàn jīn	uang tunai	cash		scenario::Belanja register::casual
找零	zhǎo líng	kembalian	change (coins)		scenario::Belanja register::casual
收據	shōu jù	kwitansi / struk	receipt		scenario::Belanja register::casual
退換貨	tuì huàn huò	retur / tukar barang	return / exchange item		scenario::Belanja register::casual
你好	nǐ hǎo	halo / hai	hello		scenario::Obrolan_Sosial register::casual
你好嗎？	nǐ hǎo ma?	kamu baik-baik saja?	how are you?	Less common in casual speech; Taiwanese tend to say 你吃了嗎？ or 去哪裡？instead	scenario::Obrolan_Sosial register::formal taiwan
吃了嗎？	chī le ma?	sudah makan?	have you eaten?	Common Taiwanese greeting, equivalent to 	scenario::Obrolan_Sosial register::casual taiwan
去哪裡？	qù nǎ lǐ?	mau ke mana?	where are you going?	Casual greeting when passing someone	scenario::Obrolan_Sosial register::casual taiwan
最近怎麼樣？	zuì jìn zěn me yàng?	belakangan ini bagaimana?	how have you been lately?		scenario::Obrolan_Sosial register::casual
還好	hái hǎo	lumayan / biasa saja	not bad / okay		scenario::Obrolan_Sosial register::casual
很好	hěn hǎo	sangat baik	very good		scenario::Obrolan_Sosial register::casual
還行	hái xíng	masih oke / boleh lah	still okay / getting by		scenario::Obrolan_Sosial register::casual
我叫⋯⋯	wǒ jiào...	nama saya ...	my name is ...		scenario::Obrolan_Sosial register::casual
你叫什麼名字？	nǐ jiào shénme míngzì?	siapa namamu?	what is your name?		scenario::Obrolan_Sosial register::casual
我是印尼人	wǒ shì Yìnní rén	saya orang Indonesia	I am Indonesian		scenario::Obrolan_Sosial register::casual
你是哪裡人？	nǐ shì nǎlǐ rén?	kamu orang mana?	where are you from?		scenario::Obrolan_Sosial register::casual
幸會	xìnghuì	senang berkenalan	nice to meet you		scenario::Obrolan_Sosial register::formal
久仰	jiǔyǎng	sudah lama dengar nama Anda	I\		scenario::Obrolan_Sosial register::formal
你的中文說得很好！	nǐ de zhōngwén shuō de hěn hǎo!	Mandarin kamu bagus sekali!	your Chinese is really good!		scenario::Obrolan_Sosial register::casual
哪裡哪裡	nǎlǐ nǎlǐ	ah tidak juga / biasa saja (merendah)	oh not at all (humble reply)	Typical modest response to a compliment	scenario::Obrolan_Sosial register::casual taiwan
你穿這個很好看	nǐ chuān zhège hěn hǎokàn	kamu kelihatan bagus pakai ini	you look great in this		scenario::Obrolan_Sosial register::casual
好厲害喔！	hǎo lìhài o!	keren banget!	that\		scenario::Obrolan_Sosial register::casual
你有空嗎？	nǐ yǒu kòng ma?	kamu ada waktu luang?	are you free?		scenario::Obrolan_Sosial register::casual
我有空	wǒ yǒu kòng	saya ada waktu	I\		scenario::Obrolan_Sosial register::casual
我沒空	wǒ méi kòng	saya tidak ada waktu	I\		scenario::Obrolan_Sosial register::casual
要不要一起⋯⋯？	yào bú yào yīqǐ...?	mau tidak ... bersama?	want to ... together?		scenario::Obrolan_Sosial register::casual
下次吧	xià cì ba	lain kali saja	maybe next time		scenario::Obrolan_Sosial register::casual
沒問題	méi wèntí	tidak masalah / oke	no problem		scenario::Obrolan_Sosial register::casual
等一下	děng yīxià	tunggu sebentar	wait a moment		scenario::Obrolan_Sosial register::casual
對不起	duìbuqǐ	maaf (serius)	sorry (sincere)		scenario::Obrolan_Sosial register::casual
不好意思	bù hǎo yìsi	permisi / maaf (ringan)	excuse me / sorry (light)	More common than 對不起 in daily Taiwan use	scenario::Obrolan_Sosial register::casual taiwan
沒關係	méi guānxi	tidak apa-apa	it\		scenario::Obrolan_Sosial register::casual
我不是故意的	wǒ bú shì gùyì de	saya tidak sengaja	I didn\		scenario::Obrolan_Sosial register::casual
就是說	jiù shì shuō	maksudnya / yaitu	that is to say / I mean		scenario::Obrolan_Sosial register::casual tag::Taiwan
對啊	duì a	iya betul	yeah, right / exactly		scenario::Obrolan_Sosial register::casual tag::Taiwan
然後呢	rán hòu ne	terus? / lalu?	then? / and then?		scenario::Obrolan_Sosial register::casual tag::Taiwan
欸	ēi	eh / hei	hey / eh		scenario::Obrolan_Sosial register::casual tag::Taiwan
嘛	ma	(penekanan / ya sudah tahu)	(obviousness particle)		scenario::Obrolan_Sosial register::casual tag::Taiwan
囉	lo	(penanda selesai / ya kan)	(completion / obvious particle)		scenario::Obrolan_Sosial register::casual tag::Taiwan
你有LINE嗎？	nǐ yǒu LINE ma?	kamu punya LINE?	do you have LINE?	LINE is the dominant messaging app in Taiwan	scenario::Obrolan_Sosial register::casual taiwan
加我好友	jiā wǒ hǎoyǒu	tambahkan aku sebagai teman	add me as a friend		scenario::Obrolan_Sosial register::casual
傳訊息給我	chuán xùnxī gěi wǒ	kirimi saya pesan	send me a message		scenario::Obrolan_Sosial register::casual
房間	fángjiān	kamar	room		scenario::Tempat_Tinggal register::casual
套房	tàofáng	studio / kamar dengan kamar mandi dalam	studio apartment	Very common rental type in Taiwan cities	scenario::Tempat_Tinggal register::casual taiwan
雅房	yǎfáng	kamar sewa (kamar mandi luar)	room with shared bathroom		scenario::Tempat_Tinggal register::casual
房東	fángdōng	pemilik rumah / landlord	landlord		scenario::Tempat_Tinggal register::casual
房客	fángkè	penyewa	tenant		scenario::Tempat_Tinggal register::casual
租金	zūjīn	uang sewa	rent		scenario::Tempat_Tinggal register::casual
押金	yājīn	deposit	security deposit		scenario::Tempat_Tinggal register::casual
合約	héyuē	kontrak	contract / lease		scenario::Tempat_Tinggal register::formal
幾個月？	jǐ gè yuè?	berapa bulan?	how many months?		scenario::Tempat_Tinggal register::casual
包水電	bāo shuǐdiàn	sudah termasuk air dan listrik	utilities included	Common to ask 有沒有包水電？when renting	scenario::Tempat_Tinggal register::casual taiwan
水費	shuǐfèi	tagihan air	water bill		scenario::Tempat_Tinggal register::casual
電費	diànfèi	tagihan listrik	electricity bill		scenario::Tempat_Tinggal register::casual
網路	wǎnglù	internet / wifi	internet	Taiwan uses 網路 where mainland uses 网络	scenario::Tempat_Tinggal register::casual taiwan
有沒有含網路？	yǒu méiyǒu hán wǎnglù?	termasuk internet?	is internet included?		scenario::Tempat_Tinggal register::casual
附近	fùjìn	sekitar sini / dekat sini	nearby		scenario::Tempat_Tinggal register::casual
捷運站	jiéyùn zhàn	stasiun MRT	MRT station		scenario::Tempat_Tinggal register::casual
走路幾分鐘到捷運？	zǒulù jǐ fēnzhōng dào jiéyùn?	jalan kaki berapa menit ke MRT?	how many minutes walk to MRT?		scenario::Tempat_Tinggal register::casual
看房	kàn fáng	survei kamar / lihat rumah	to view a property		scenario::Tempat_Tinggal register::casual
搬家	bānjiā	pindah rumah	to move house		scenario::Tempat_Tinggal register::casual
